Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Accuracy,Spreadsheet: display,Spreadsheet: test items,BA
40,1.73E+12,2/11/2024 12:43,1.73E+12,8,3/11/2024 4:43,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,27,Formal Test,Formal Test,s9687n,1,Formal Test,新球拍的握把很好握。,否
41,1.73E+12,2/11/2024 12:43,1.73E+12,8,3/11/2024 4:43,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,28,Formal Test,Formal Test,s9687n,1,Formal Test,媽媽拿著一把刀切菜。,否
42,1.73E+12,2/11/2024 12:43,1.73E+12,8,3/11/2024 4:43,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,29,Formal Test,Formal Test,s9687n,1,Formal Test,提起修理手錶，陳師傅可是老把式呢。,否
43,1.73E+12,2/11/2024 12:43,1.73E+12,8,3/11/2024 4:43,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,30,Formal Test,Formal Test,s9687n,1,Formal Test,他把橘子剝了皮。,是
44,1.73E+12,2/11/2024 12:43,1.73E+12,8,3/11/2024 4:43,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,31,Formal Test,Formal Test,s9687n,1,Formal Test,這瓶酒把李四醉得站不起來。,是
45,1.73E+12,2/11/2024 12:43,1.73E+12,8,3/11/2024 4:43,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,32,Formal Test,Formal Test,s9687n,1,Formal Test,他在一個鐘頭內把窗戶洗得很乾淨。,是
46,1.73E+12,2/11/2024 12:43,1.73E+12,8,3/11/2024 4:43,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,33,Formal Test,Formal Test,s9687n,1,Formal Test,九把刀的新書讓約翰愛不釋手。,否
47,1.73E+12,2/11/2024 12:43,1.73E+12,8,3/11/2024 4:43,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,34,Formal Test,Formal Test,s9687n,1,Formal Test,國際石油組織將把日產量減產五十萬桶。,是
48,1.73E+12,2/11/2024 12:43,1.73E+12,8,3/11/2024 4:43,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,35,Formal Test,Formal Test,s9687n,1,Formal Test,他把腿走得很酸。,是
49,1.73E+12,2/11/2024 12:43,1.73E+12,8,3/11/2024 4:43,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,36,Formal Test,Formal Test,s9687n,1,Formal Test,他把我冷得直哆嗦。,是
50,1.73E+12,2/11/2024 12:43,1.73E+12,8,3/11/2024 4:43,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,37,Formal Test,Formal Test,s9687n,1,Formal Test,新款握把布改良了舊款的缺點。,否
51,1.73E+12,2/11/2024 12:43,1.73E+12,8,3/11/2024 4:43,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,38,Formal Test,Formal Test,s9687n,1,Formal Test,他希望把這個獎與所有中國人分享。,是
52,1.73E+12,2/11/2024 12:43,1.73E+12,8,3/11/2024 4:43,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,39,Formal Test,Formal Test,s9687n,1,Formal Test,委員把修法過程像錄影帶般倒帶。,是
53,1.73E+12,2/11/2024 12:43,1.73E+12,8,3/11/2024 4:43,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,40,Formal Test,Formal Test,s9687n,1,Formal Test,盡情把酒言歡是老王的夢想。,否
54,1.73E+12,2/11/2024 12:43,1.73E+12,8,3/11/2024 4:43,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,41,Formal Test,Formal Test,s9687n,1,Formal Test,趙六把持著整個公司的運作。,否
55,1.73E+12,2/11/2024 12:43,1.73E+12,8,3/11/2024 4:43,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,42,Formal Test,Formal Test,s9687n,1,Formal Test,他總是把家保持得很乾淨。,是
56,1.73E+12,2/11/2024 12:43,1.73E+12,8,3/11/2024 4:43,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,43,Formal Test,Formal Test,s9687n,1,Formal Test,警方在去年十二月把執法焦點由打擊毒品轉移至網路犯罪。,是
57,1.73E+12,2/11/2024 12:44,1.73E+12,8,3/11/2024 4:44,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,44,Formal Test,Formal Test,s9687n,1,Formal Test,我會把書放在桌上。,是
58,1.73E+12,2/11/2024 12:44,1.73E+12,8,3/11/2024 4:44,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,45,Formal Test,Formal Test,s9687n,1,Formal Test,政府替人民把關食品安全。,否
59,1.73E+12,2/11/2024 12:44,1.73E+12,8,3/11/2024 4:44,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,46,Formal Test,Formal Test,s9687n,1,Formal Test,新聞局應該把自己做的廣告拿出來看一看。,是
60,1.73E+12,2/11/2024 12:44,1.73E+12,8,3/11/2024 4:44,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,47,Formal Test,Formal Test,s9687n,1,Formal Test,車門門把生鏽了。,否
61,1.73E+12,2/11/2024 12:44,1.73E+12,8,3/11/2024 4:44,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,48,Formal Test,Formal Test,s9687n,1,Formal Test,未來有可能會把這些勞動規約標準統一化。,是
62,1.73E+12,2/11/2024 12:44,1.73E+12,8,3/11/2024 4:44,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,49,Formal Test,Formal Test,s9687n,1,Formal Test,我把字典借給老王。,是
63,1.73E+12,2/11/2024 12:44,1.73E+12,8,3/11/2024 4:44,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,50,Formal Test,Formal Test,s9687n,1,Formal Test,我們得先把這問題想一想。,是
64,1.73E+12,2/11/2024 12:44,1.73E+12,8,3/11/2024 4:44,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,2,Break,Screen 1,futlwl,1,Break,,
